id,time,x,y,z,tilt_fc,tilt_tw,z_smo,y_smo,t1,tVal,bin,windowSize,run_id,smo_prob,bin_hmm,run_idle_id,numbers,recipe_step
9,46.553S,0,0.96,-0.06,0.6,3.58,-0.06558729667740869,0.9515362374547918,1970-01-01T00:00:00Z,-20,-1,,1,0,Idle,1,2200,Idle -1
10,46.556S,0,0.96,-0.06,0.6,4.76,-0.06558841132651018,0.9515366023416596,1970-01-01T00:00:00Z,-20,-1,,1,4.6901125013799834e-4,Idle,1,2200,Idle -1
11,46.559S,0,0.96,-0.06,0,3.58,-0.0655895258010302,0.951536972839474,1970-01-01T00:00:00Z,-20,-1,,1,6.150998533815116e-4,Idle,1,2200,Idle -1
12,46.562S,0,0.96,-0.06,0,3.69,-0.06559064010366213,0.9515373489831459,1970-01-01T00:00:00Z,-20,-1,,1,6.617500734534946e-4,Idle,1,2200,Idle -1
13,46.564S,0,0.96,-0.06,0,3.58,-0.06559138287792007,0.951537602899421,1970-01-01T00:00:00Z,-20,-1,,1,6.804000103408822e-4,Idle,1,2200,Idle -1
14,46.567S,0,0.96,-0.06,0.61,3.65,-0.06559249690005708,0.951537988530434,1970-01-01T00:00:00Z,-20,-1,,1,6.996392514274053e-4,Idle,1,2200,Idle -1
15,46.57S,0,0.96,-0.06,0,3.58,-0.06559361075748829,0.9515383799003992,1970-01-01T00:00:00Z,-20,-1,,1,7.489964926593413e-4,Idle,1,2200,Idle -1
16,46.573S,0,0.94,-0.06,0,4.76,-0.06559472445290705,0.9515387770442272,1970-01-01T00:00:00Z,-20,-1,,1,9.040808791582947e-4,Idle,1,2200,Idle -1
17,46.576S,0,0.94,-0.06,0,3.69,-0.06559583798900676,0.9515391799968286,1970-01-01T00:00:00Z,-20,-1,,1,9.55233117240233e-4,Idle,1,2200,Idle -1
18,46.579S,0,0.94,-0.06,0.61,3.65,-0.06559695136848073,0.9515395887931138,1970-01-01T00:00:00Z,-20,-1,,1,9.553381388726395e-4,Idle,1,2200,Idle -1
19,46.582S,-0.01,0.94,-0.06,0,3.65,-0.06559806459402238,0.9515400034679937,1970-01-01T00:00:00Z,-20,-1,,1,9.043691931571446e-4,Idle,1,2200,Idle -1
20,46.585S,-0.01,0.96,-0.08,0.6,4.76,-0.06559917766832506,0.9515404240563786,1970-01-01T00:00:00Z,-20,-1,,1,7.493785873884426e-4,Idle,1,2200,Idle -1
21,46.588S,-0.01,0.96,-0.08,0.6,4.76,-0.06560029059408212,0.9515408505931796,1970-01-01T00:00:00Z,-20,-1,,1,7.011923409212735e-4,Idle,1,2200,Idle -1
22,46.592S,-0.01,0.96,-0.08,0.6,4.76,-0.06560177426867575,0.9515414286223441,1970-01-01T00:00:00Z,-20,-1,,1,6.861676125117645e-4,Idle,1,2200,Idle -1
23,46.595S,0,0.96,-0.08,0,3.04,-0.06560288685830057,0.9515418691745446,1970-01-01T00:00:00Z,-20,-1,,1,6.814545147264857e-4,Idle,1,2200,Idle -1
24,46.597S,0,0.96,-0.06,0,3.65,-0.0656036285070132,0.9515421662431816,1970-01-01T00:00:00Z,-20,-1,,1,6.799510148549996e-4,Idle,1,2200,Idle -1
25,46.6S,0,0.96,-0.06,0,4.76,-0.06560474086552143,0.9515426169227507,1970-01-01T00:00:00Z,-20,-1,,1,6.794316006623892e-4,Idle,1,2200,Idle -1
26,46.603S,-0.01,0.96,-0.08,0.6,3.58,-0.06560585308895087,0.9515430737252889,1970-01-01T00:00:00Z,-20,-1,,1,6.792170368390471e-4,Idle,1,2200,Idle -1
27,46.606S,-0.01,0.96,-0.08,1.79,4.76,-0.06560696517999486,0.951543536685706,1970-01-01T00:00:00Z,-20,-1,,1,6.790964163949041e-4,Idle,1,2200,Idle -1
28,46.609S,-0.01,0.96,-0.08,0.6,4.76,-0.06560807714134678,0.9515440058389132,1970-01-01T00:00:00Z,-20,-1,,1,6.790042525020691e-4,Idle,1,2200,Idle -1
29,46.612S,-0.01,0.96,-0.08,0.6,4.76,-0.0656091889757,0.9515444812198205,1970-01-01T00:00:00Z,-20,-1,,1,6.789202096809403e-4,Idle,1,2200,Idle -1
30,46.615S,-0.01,0.96,-0.06,1.79,3.58,-0.06561030068574787,0.9515449628633388,1970-01-01T00:00:00Z,-20,-1,,1,6.788379695812709e-4,Idle,1,2200,Idle -1
31,46.618S,-0.01,0.96,-0.06,0,3.58,-0.06561141227418377,0.9515454508043786,1970-01-01T00:00:00Z,-20,-1,,1,6.787555617994421e-4,Idle,1,2200,Idle -1
32,46.621S,-0.01,0.96,-0.06,0.6,3.58,-0.065612523743701065,0.9515459450778507,1970-01-01T00:00:00Z,-20,-1,,1,6.786723536235941e-4,Idle,1,2200,Idle -1
33,46.624S,-0.01,0.96,-0.06,0.6,3.58,-0.06561363509699308,0.9515464457186655,1970-01-01T00:00:00Z,-20,-1,,1,6.785880886719615e-4,Idle,1,2200,Idle -1
