id,time,x,y,z,z_smo,y_smo,t1,tVal,bin,windowSize,run_id,smo_prob,bin_hmm,run_idle_id,numbers,recipe_step
9,630.198S,2.47,0.96,0.43,0.4333458254079397,0.9597951807498368,1970-01-01T00:00:00Z,-20,0,,1,0,idle,1,1085,idle 0
10,630.202S,2.47,0.96,0.43,0.43334404391688014,0.9597955597666786,1970-01-01T00:00:00Z,-20,0,,1,2.610092445701336e-4,idle,1,1085,idle 0
11,630.206S,2.47,0.96,0.43,0.43334227211926823,0.9597959375044633,1970-01-01T00:00:00Z,-20,0,,1,3.0338360456742483e-4,idle,1,1085,idle 0
12,630.21S,2.47,0.96,0.43,0.4333405100454142,0.9597963139784602,1970-01-01T00:00:00Z,-20,0,,1,3.102500121934147e-4,idle,1,1085,idle 0
13,630.213S,2.47,0.96,0.43,0.43333919488947337,0.9597965955137824,1970-01-01T00:00:00Z,-20,0,,1,3.1141834013114525e-4,idle,1,1085,idle 0
14,630.217S,2.47,0.96,0.43,0.43333744990512985,0.9597969698128921,1970-01-01T00:00:00Z,-20,0,,1,3.1205236874869526e-4,idle,1,1085,idle 0
15,630.221S,2.47,0.96,0.43,0.4333357147278975,0.9597973428902042,1970-01-01T00:00:00Z,-20,0,,1,3.150472087375895e-4,idle,1,1085,idle 0
16,630.225S,2.47,0.96,0.43,0.4333339893880865,0.9597977147609881,1970-01-01T00:00:00Z,-20,0,,1,3.3349688703615456e-4,idle,1,1085,idle 0
17,630.23S,2.47,0.96,0.43,0.43333184659337254,0.9597981779260495,1970-01-01T00:00:00Z,-20,0,,1,0.00044727346264940917,idle,1,1085,idle 0
18,630.234S,2.47,0.96,0.45,0.43333014349858173,0.9597985471379731,1970-01-01T00:00:00Z,-20,0,,1,0.001148246418574837,idle,1,1085,idle 0
19,630.237S,2.47,0.96,0.45,0.433328872696285,0.9597988232868633,1970-01-01T00:00:00Z,-20,0,,1,0.001440175276229768,idle,1,1085,idle 0
20,630.241S,2.47,0.96,0.45,0.4333271870092626,0.9597991904842269,1970-01-01T00:00:00Z,-20,0,,1,0.0015610746097089198,idle,1,1085,idle 0
21,630.245S,2.47,0.96,0.45,0.4333255113112128,0.9597995565514085,1970-01-01T00:00:00Z,-20,0,,1,0.001608938599783849,idle,1,1085,idle 0
22,630.249S,2.47,0.96,0.45,0.43332384563244625,0.9597999215036777,1970-01-01T00:00:00Z,-20,0,,1,0.0016220745268797567,idle,1,1085,idle 0
23,630.253S,2.47,0.96,0.45,0.433322190003273,0.9598002853563034,1970-01-01T00:00:00Z,-20,0,,1,0.00161043484160353,idle,1,1085,idle 0
24,630.256S,2.47,0.96,0.45,0.4333209548946721,0.9598005575333168,1970-01-01T00:00:00Z,-20,0,,1,0.0015637716803035863,idle,1,1085,idle 0
25,630.26S,2.47,0.96,0.45,0.43331931692522124,0.9598009194983085,1970-01-01T00:00:00Z,-20,0,,1,0.001443501362706137,idle,1,1085,idle 0
26,630.264S,2.47,0.96,0.45,0.43331768908871693,0.9598012804056466,1970-01-01T00:00:00Z,-20,0,,1,0.0011509491774163003,idle,1,1085,idle 0
27,630.268S,2.47,0.96,0.43,0.4333160714154695,0.9598016402706013,1970-01-01T00:00:00Z,-20,0,,1,4.47318266871581e-4,idle,1,1085,idle 0
28,630.273S,2.47,0.96,0.43,0.433314063662166,0.9598020886592042,1970-01-01T00:00:00Z,-20,0,,1,0.00033312770405281373,idle,1,1085,idle 0
29,630.277S,2.47,0.96,0.43,0.4333124689670683,0.9598024462346239,1970-01-01T00:00:00Z,-20,0,,1,3.145766291832375e-4,idle,1,1085,idle 0
30,630.28S,2.47,0.96,0.43,0.433311279678371,0.9598027137638557,1970-01-01T00:00:00Z,-20,0,,1,3.115458314184918e-4,idle,1,1085,idle 0
31,630.284S,2.47,0.96,0.43,0.43330970296125365,0.959803069611968,1970-01-01T00:00:00Z,-20,0,,1,3.110270865984094e-4,idle,1,1085,idle 0
32,630.288S,2.47,0.96,0.43,0.4333081365589446,0.9598034244940431,1970-01-01T00:00:00Z,-20,0,,1,3.109160199704537e-4,idle,1,1085,idle 0
33,630.292S,2.47,0.96,0.43,0.433306580501754,0.9598037784253501,1970-01-01T00:00:00Z,-20,0,,1,3.108713874049444e-4,idle,1,1085,idle 0
34,630.296S,2.47,0.96,0.43,0.43330503481999205,0.959804131421158,1970-01-01T00:00:00Z,-20,0,,1,3.1083846784213636e-4,idle,1,1085,idle 0
35,630.299S,2.47,0.96,0.43,0.43330388238577944,0.9598043955632783,1970-01-01T00:00:00Z,-20,0,,1,3.1081225324231594e-4,idle,1,1085,idle 0
36,630.303S,2.47,0.96,0.43,0.4333023549339518,0.9598047469587047,1970-01-01T00:00:00Z,-20,0,,1,3.1078173878829415e-4,idle,1,1085,idle 0
37,630.307S,2.47,0.96,0.43,0.43330083794090635,0.9598050974606226,1970-01-01T00:00:00Z,-20,0,,1,3.107506034628092e-4,idle,1,1085,idle 0
38,630.311S,2.47,0.96,0.43,0.43329933143695304,0.9598054470843015,1970-01-01T00:00:00Z,-20,0,,1,3.1071885079395474e-4,idle,1,1085,idle 0
39,630.316S,2.47,0.95,0.43,0.43329746310347333,0.9598058829021381,1970-01-01T00:00:00Z,-20,0,,1,3.1068282163115195e-4,idle,1,1085,idle 0
40,630.32S,2.47,0.96,0.43,0.43329598031079963,0.9598062306056069,1970-01-01T00:00:00Z,-20,0,,1,3.106524071326353e-4,idle,1,1085,idle 0
41,630.323S,2.47,0.96,0.43,0.43329487516274967,0.9598064908385954,1970-01-01T00:00:00Z,-20,0,,1,3.10627512699197e-4,idle,1,1085,idle 0
42,630.327S,2.47,0.96,0.43,0.43329341091826823,0.9598068371020102,1970-01-01T00:00:00Z,-20,0,,1,3.1059838901784776e-4,idle,1,1085,idle 0
43,630.331S,2.47,0.96,0.43,0.43329195731443043,0.9598071825635317,1970-01-01T00:00:00Z,-20,0,,1,3.1056879182996255e-4,idle,1,1085,idle 0
44,630.335S,2.47,0.96,0.43,0.43329051438154637,0.9598075272384298,1970-01-01T00:00:00Z,-20,0,,1,3.1053942875874344e-4,idle,1,1085,idle 0
45,630.339S,2.47,0.96,0.43,0.43328908214992645,0.9598078711419734,1970-01-01T00:00:00Z,-20,0,,1,3.1051102325919044e-4,idle,1,1085,idle 0
46,630.342S,2.47,0.96,0.43,0.43328801501715,0.9598081285726153,1970-01-01T00:00:00Z,-20,0,,1,3.1048744827149037e-4,idle,1,1085,idle 0
47,630.346S,2.47,0.96,0.43,0.43328660158567645,0.9598084711630304,1970-01-01T00:00:00Z,-20,0,,1,3.1046110970610303e-4,idle,1,1085,idle 0
48,630.35S,2.47,0.96,0.43,0.43328519893882045,0.9598088130240815,1970-01-01T00:00:00Z,-20,0,,1,3.104430850030568e-4,idle,1,1085,idle 0
49,630.354S,2.47,0.96,0.43,0.4332838071068921,0.9598091541710383,1970-01-01T00:00:00Z,-20,0,,1,3.1047948681037826e-4,idle,1,1085,idle 0
50,630.359S,2.47,0.96,0.43,0.43328208257164963,0.9598095796237999,1970-01-01T00:00:00Z,-20,0,,1,3.1085137390795436e-4,idle,1,1085,idle 0
51,630.363S,2.47,0.96,0.43,0.4332807151841304,0.9598099192198712,1970-01-01T00:00:00Z,-20,0,,1,3.133237875325582e-4,idle,1,1085,idle 0
52,630.366S,2.47,0.96,0.43,0.4332796968037759,0.9598101734800318,1970-01-01T00:00:00Z,-20,0,,1,3.2873825291816056e-4,idle,1,1085,idle 0
53,630.37S,2.47,0.96,0.43,0.4332783485346609,0.9598105119233018,1970-01-01T00:00:00Z,-20,0,,1,4.2402725851548706e-4,idle,1,1085,idle 0
54,630.374S,2.47,0.96,0.45,0.43327701123202494,0.9598108497288237,1970-01-01T00:00:00Z,-20,0,,1,0.0010125526125554707,idle,1,1085,idle 0
55,630.378S,2.47,0.96,0.45,0.4332756849261784,0.9598111869118665,1970-01-01T00:00:00Z,-20,0,,1,0.0010126525636326607,idle,1,1085,idle 0
56,630.382S,2.47,0.96,0.43,0.43327436964743155,0.9598115234876995,1970-01-01T00:00:00Z,-20,0,,1,4.2394391157834095e-4,idle,1,1085,idle 0
57,630.385S,2.47,0.96,0.43,0.43327339044313884,0.9598117755302779,1970-01-01T00:00:00Z,-20,0,,1,3.286032915553262e-4,idle,1,1085,idle 0
58,630.389S,2.47,0.96,0.43,0.4332720945347502,0.959812111080235,1970-01-01T00:00:00Z,-20,0,,1,3.131444702123283e-4,idle,1,1085,idle 0
59,630.393S,2.47,0.96,0.43,0.43327080973681437,0.9598124460649726,1970-01-01T00:00:00Z,-20,0,,1,3.106196745701986e-4,idle,1,1085,idle 0
60,630.397S,2.47,0.96,0.43,0.4332695360796416,0.9598127804997603,1970-01-01T00:00:00Z,-20,0,,1,3.101885478554634e-4,idle,1,1085,idle 0
61,630.402S,2.47,0.96,0.43,0.4332679597210496,0.9598131977931389,1970-01-01T00:00:00Z,-20,0,,1,3.100929211143644e-4,idle,1,1085,idle 0
62,630.406S,2.47,0.96,0.43,0.43326671124141575,0.9598135310463667,1970-01-01T00:00:00Z,-20,0,,1,3.1005695317561945e-4,idle,1,1085,idle 0
63,630.409S,2.47,0.96,0.43,0.4332657822558047,0.9598137806571143,1970-01-01T00:00:00Z,-20,0,,1,3.1003469331398185e-4,idle,1,1085,idle 0
64,630.413S,2.47,0.96,0.43,0.43326455346478704,0.9598141130447936,1970-01-01T00:00:00Z,-20,0,,1,3.1001146750389856e-4,idle,1,1085,idle 0
65,630.417S,2.47,0.96,0.43,0.4332633359660837,0.9598144449588688,1970-01-01T00:00:00Z,-20,0,,1,3.0999481986698877e-4,idle,1,1085,idle 0
66,630.421S,2.47,0.96,0.43,0.4332621297900052,0.9598147764146098,1970-01-01T00:00:00Z,-20,0,,1,3.1001981826488253e-4,idle,1,1085,idle 0
67,630.425S,2.47,0.96,0.43,0.43326093496686174,0.9598151074272852,1970-01-01T00:00:00Z,-20,0,,1,3.1030129849142984e-4,idle,1,1085,idle 0
68,630.428S,2.47,0.96,0.43,0.4332600463181012,0.9598153554052155,1970-01-01T00:00:00Z,-20,0,,1,3.121666394267936e-4,idle,1,1085,idle 0
69,630.432S,2.47,0.96,0.43,0.433258871435528,0.959815685679268,1970-01-01T00:00:00Z,-20,0,,1,3.2379330972227323e-4,idle,1,1085,idle 0
70,630.436S,2.47,0.96,0.43,0.433257707989243,0.9598160155522458,1970-01-01T00:00:00Z,-20,0,,1,3.9577090839457423e-4,idle,1,1085,idle 0
71,630.44S,2.47,0.96,0.45,0.43325655600955654,0.9598163450394176,1970-01-01T00:00:00Z,-20,0,,1,8.407717035370232e-4,idle,1,1085,idle 0
72,630.445S,2.47,0.96,0.43,0.4332551322060284,0.9598167563791051,1970-01-01T00:00:00Z,-20,0,,1,4.915567975655667e-4,idle,1,1085,idle 0
73,630.449S,2.47,0.96,0.45,0.4332540061370106,0.9598170850540426,1970-01-01T00:00:00Z,-20,0,,1,8.410226818385811e-4,idle,1,1085,idle 0
74,630.452S,2.47,0.96,0.43,0.43325316917319096,0.9598173313387922,1970-01-01T00:00:00Z,-20,0,,1,3.9570985388335763e-4,idle,1,1085,idle 0
75,630.456S,2.47,0.96,0.43,0.4332520633630012,0.9598176594354342,1970-01-01T00:00:00Z,-20,0,,1,3.236713289730529e-4,idle,1,1085,idle 0
76,630.46S,2.47,0.96,0.43,0.43325096917096123,0.9598179872226164,1970-01-01T00:00:00Z,-20,0,,1,3.1207836402911835e-4,idle,1,1085,idle 0
77,630.464S,2.47,0.96,0.43,0.43324988662738156,0.9598183147156087,1970-01-01T00:00:00Z,-20,0,,1,3.106652106518731e-4,idle,1,1085,idle 0
78,630.468S,2.47,0.96,0.43,0.4332488157625722,0.9598186419296801,1970-01-01T00:00:00Z,-20,0,,1,3.1338774269667097e-4,idle,1,1085,idle 0
79,630.471S,2.47,0.96,0.43,0.4332480202963918,0.9598188871663773,1970-01-01T00:00:00Z,-20,0,,1,3.321699010787936e-4,idle,1,1085,idle 0
